@delta,camera_id,suburb,street,offence_location,postcode,last_annual_test,last_annual_test_sortable,camera_type,certificate,site_type,reason,link,latitude,longitude,intersects_with,expiry_date,lga,commissioned_date,description,network,status,DJCS Comments,location
0,A00,Fitzroy North,Alexandra Parade,"Alexandra Parade, at the intersection of Alexandra Parade and Smith Street, Fitzroy North",3068,16/01/2026,16/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/A00-fitzroy-north-intersection-of-alexandra-parade-and-smith-street-camera-cert-160126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.793722,144.985021,Smith Street,16/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.793722,144.985021"
3,A06,Wantirna,Boronia Road,"Boronia Road, at the intersection of Boronia Road and Wantirna Road, Wantirna",3152,29/01/2026,29/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/A06-wantirna-intersection-of-boronia-road-and-wantirna-road-camera-cert-290126-.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.847742,145.227402,Wantirna Road,29/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.847742,145.227402"
15,A23,Cheltenham,Park Road,"Park Road, at the intersection of Park Road and Charman Road, Cheltenham",3192,7/08/2026,7/08/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/A23-cheltenham-intersection-of-park-road-and-charman-road-camera-cert-070826.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.965441,145.055824,Charman Road,7/08/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.965441,145.055824"
18,A37,Yarraville,Somerville Road,"Somerville Road, at the intersection of Somerville Road and Geelong Road, Yarraville",3013,11/03/2026,11/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/A37-yarraville-intersection-of-somerville-road-and-geelong-road-camera-cert-110326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8112821,144.8699263,Geelong Road,11/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8112821,144.8699263"
27,A50,Collingwood,Johnston Street,"Johnston Street, at the intersection of Johnston Street and Wellington Street, Collingwood",3066,10/08/2026,12/08/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/A50-collingwood-intersection-of-johnston-street-and-wellington-street-camera-cert-100826.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.7992148,144.9872066,Wellington Street,10/08/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,Coming up,"-37.7992148,144.9872066"
29,A55,Norlane,The Boulevard,"The Boulevard, at the intersection of The Boulevard and Melbourne Road, Norlane",3214,2/09/2025,2/09/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-09/A55-the-boulevard-intersection-of-the-boulevard-and-melbourne-road-norlane-camera-cert-020925.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.0987405,144.3547511,Melbourne Road,2/09/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.0987405,144.3547511"
31,A57,Wantirna,Mountain Highway,"Mountain Highway, at the intersection of Mountain Highway and Wantirna Road, Wantirna",3152,22/09/2025,22/09/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/A57-wantirna-mountain-highway-intersection-of-mountain-highway-and-wantirna-road-camera-cert-220925.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8489151,145.2271047,Wantirna Road,22/09/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8489151,145.2271047"
33,A60,Armadale,Dandenong Road,"Dandenong Road, at the intersection of Dandenong Road and Kooyong Road, Armadale",3143,20/03/2026,20/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-05/A60-amadale-intersection-of-kooyong-road-and-dandenong-road-camera-cert-200326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.862464,145.019342,Kooyong Road,20/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.862464,145.019342"
45,B01,West Melbourne,King Street,"King Street, at the intersection of King Street and Hawke Street, West Melbourne",3003,19/11/2025,19/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/B01-west-melbourne-king-street-intersection-of-king-street-and-hawke-street-camera-cert-191125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.805611,144.948809,Hawke Street,19/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.805611,144.948809"
47,B10,Box Hill,Whitehorse Road,"Whitehorse Road, at the intersection of Whitehorse Road and Elgar Road, Box Hill",3128,27/01/2026,27/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/B10-box-hill-intersection-of-whitehorse-road-and-elgar-road-camera-cert-270126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.816986,145.115216,Elgar Road,27/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.816986,145.115216"
51,B20,Brighton East,Thomas Street,"Thomas Street, at the intersection of Thomas Street and North Road, Brighton East",3187,2/02/2026,2/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/B20-brighton-east-intersection-of-thomas-street-and-north-road-camera-cert-020226.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.902339,145.025924,North Road,2/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.902339,145.025924"
67,C13,East Melbourne,Nicholson Street,"Nicholson Street, at the intersection of Nicholson Street and Albert Street, East Melbourne",3002,23/07/2026,23/07/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-08/C13_east_melbourne_nicholson_street_intersection_of_nicholson_street_and-albert_street_camera_cert_240725.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8093999,144.972828,Albert Street,23/07/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8093999,144.972828"
